,Unnamed: 0,content
0,0,"　　,中新网,深圳1月2日电（记者 郑小红）2017年深圳网球公开赛单打正赛1日在深圳市龙岗区体育中心正式开打。7号种子尼库莱斯库携手本土人气球员王蔷取得开门红，晋级女单次轮。"
1,1,　　1日的首场比赛中，世界排名38位的尼库莱斯库面临了来自中国球员张恺琳的巨大挑战。开局不利的她最终耗时两小时四十分钟才艰难以5-7，6-1，6-3战胜中国外卡选手张恺琳。
2,2,　　参赛球员中排名最高的中国球员王蔷当日表现神勇，用时74分钟便以6-2，6-3横扫俄罗斯球员罗迪娜。
3,3,　　王蔷今年24岁，来自天津，因其纯真的性格颇受欢迎。本场比赛她充分利用球场调动对手的跑动，赢得她对这位俄罗斯对手的第三场胜利。
4,4,　　四名从资格赛中突围成功的球员也已产生，她们是突尼斯球员加布尔、中华台北球员张凯贞、塞尔维亚球员斯托扬诺维奇、瑞士球员沃格勒。
5,5,　　当天组委会还举办了一场别开生面的儿童日活动。将近30名儿童参与了活动，并与自己的网球偶像亲密接触并互动。这项被称为冠军儿童日的活动也逐渐成为了深圳公开赛的传统。
6,6,　　深圳公开赛是由中国网球协会、深圳市文体旅游局、央视IMG体育赛事管理有限公司主办，由深圳龙岗区文体旅游局、佳兆业文化、弘金地体育承办。（完）
7,7,　　原标题：2017年全国马拉松赛事预计将超500场
8,8,　　赛事服务也得“跑起来”
9,9,　　寒冷的冬季并未挡住人们奔跑的热情，2017年刚刚到来，作为国际田联金标赛事的厦门马拉松便于新年第二天“迫不及待”地举行，而不到一周后海口马拉松的发令枪也将打响。“2017年国内预计将有500场以上的马拉松赛事。”国家体育总局田径运动管理中心副主任王大卫说。
10,10,　　据统计，2016年仅在中国田径协会注册的马拉松赛事便达到了328场，继续呈现出爆发式增长的态势，2015年，这个数字还仅仅停留在134场。如果算上未在中国田协注册的纯“民间”赛事，国内全年的路跑赛事还要更多。
11,11,　　王大卫认为，马拉松赛事的爆发式增长并非是刻意为之，而是随着社会经济发展、群众健身意识提高自然而然出现的结果，“一方面中国社会经济发展取得巨大进步，人民群众的健康意识得到很大提高，健身需求旺盛；另一方面与其他运动项目相比，马拉松简单经济，适合大部分人群；跑步能由内而外提升人体健康指数，在塑造健美肌肉的同时，提升心血管功能；参与马拉松赛事，可以在检验平日跑步成果的同时，享受跑友盛会，获得心灵上的满足。”
12,12,　　因此，作为马拉松项目的管理者，中国田协所需做的便是从群众的健身需求出发，因势而动、因势利导，加强对公众的产品提供。而对赛事组织者来说，要想在同越来越多的竞争对手的较量中脱颖而出，则必须明确自身的优势与定位，打造自身的特色。
